# Wes Sander, MoltFire
pglib_opf_case179_goc: AC-OPF objective 754266.268686 $/h (verified feasible at 1e-06 pu)

gen  bus  Pg[MW]  Qg[MVAr]
  0    4   305.0499    22.2389
  1    6   231.0799   -12.8787
  2    9   807.3399  -418.3500
  3   11  1587.5561   153.0398
  4   13   558.1099  -147.7188
  5   15  1565.3199   242.6263
  6   18   536.4099  -134.2298
  7   30  3028.7699   754.1252
  8   35  1449.2799   582.3157
  9   36  1015.0499   234.6685
 10   40    20.8499    34.5210
 11   43   126.9299    59.7734
 12   45   492.8499   479.4333
 13   47    71.0199    10.5505
 14   65   444.3388    93.0487
 15   70   102.2099   194.3230
 16   77  3641.0799  -297.4622
 17   79  5244.1629  -897.1044
 18  103   849.5407  -340.9233
 19  112   409.1199  -148.2743
 20  116   312.1599    -2.8877
 21  118  1578.1499  1984.7641
 22  138   312.5699   307.0901
 23  140   929.2785   779.6977
 24  144   598.3299  -169.2471
 25  148  2323.9137   571.9215
 26  149   928.7699   160.1340
 27  159   945.1199   -23.8140
 28  162   163.5899    97.6028

bus  Vm[pu]  Va[deg]
   2  0.93205  -55.4447
   3  0.92781  -48.9649
   4  0.97934  -52.7660
   5  1.00795  -19.9801
   6  1.00612  -18.7034
   7  0.99938  -41.1779
   8  0.93068  -39.9922
   9  0.90199  -36.9410
  10  0.92885  -40.2994
  11  1.00422   -6.7909
  12  1.04600  -51.1844
  13  0.95759  -49.0874
  14  1.06056  -50.4498
  15  0.97173  -49.9817
  16  1.06356  -54.5878
  17  0.94702  -39.0218
  18  0.89800  -36.9771
  19  1.06799  -54.8141
  20  1.05360  -51.0267
  21  1.06231  -50.6041
  22  1.08048  -51.7227
  23  1.09588  -54.2953
  24  1.07666  -51.0690
  25  1.08137  -54.2033
  26  1.09236  -51.6023
  27  1.07291  -54.7096
  28  1.01083  -41.9397
  29  1.06176  -49.4312
  30  0.99588    8.3697
  31  1.03482    5.7598
  32  1.10800   -4.7250
  33  0.99528   -6.3837
  34  0.95992   -9.6803
  35  0.97148   -7.9546
  36  0.92490   -2.3218
  37  1.00304  -62.9106
  38  1.01959  -66.4915
  39  0.97903  -68.1740
  40  0.98716  -68.6160
  41  0.96958  -69.4149
  42  0.97863  -69.4911
  43  0.94905  -68.2350
  44  0.93722  -38.1982
  45  0.94055  -36.6736
  46  0.97540  -67.8667
  47  0.94299  -66.6184
  48  0.97388  -67.9168
  49  1.01254  -65.7212
  50  0.97129  -69.9734
  51  0.98192  -69.6914
  52  0.98642  -68.8651
  53  0.98642  -68.8651
  54  0.97589  -69.9718
  55  0.97048  -68.9079
  56  0.98830  -67.0896
  57  0.97276  -69.9527
  58  0.97068  -69.5687
  59  0.97269  -68.6040
  60  0.97538  -67.7066
  61  0.95935  -68.5382
  62  0.97163  -68.4787
  63  0.99774  -64.5146
  64  1.00285  -62.9409
  65  0.95760  -19.0973
  66  1.03874  -20.3449
  67  0.99913  -13.3691
  68  0.99671  -12.0516
  69  1.02507  -10.8383
  70  0.97395  -11.7307
  71  0.99259  -12.2096
  72  1.02511  -10.9212
  73  1.09947   -4.9455
  74  1.06295   -5.4592
  75  1.05576  -10.1311
  76  1.02755   -9.0632
  77  0.91218    0.0000
  78  1.04255   -5.3980
  79  0.91899   10.2724
  80  1.01686    1.7603
  81  1.05967  -14.0423
  82  1.03991  -12.9185
  83  1.09417  -25.3146
  84  0.96655   -6.2177
  85  0.91448   -5.3268
  86  1.08569  -18.7237
  87  1.05293  -14.4019
  88  1.07442  -16.7873
  89  1.09335  -21.6515
  90  1.08686  -19.3667
  91  1.06000  -15.4310
  92  1.07783  -17.7844
  93  1.08926  -20.4091
  94  1.09599  -22.6557
  95  1.05978  -15.4611
  96  1.07746  -17.8450
  97  1.08875  -20.5034
  98  1.09544  -22.7798
  99  1.04618   -8.9661
 100  1.08089  -48.9269
 101  1.10800  -42.4327
 102  0.98618  -59.6910
 103  0.89800  -54.3914
 104  0.99956  -61.7550
 105  1.10358  -46.4629
 106  1.09897  -47.3084
 107  0.99873  -63.3564
 108  1.00458  -63.3043
 109  1.10800  -65.0433
 110  0.99588  -63.4945
 111  1.09664  -35.8863
 112  0.97943  -33.5006
 113  1.10191  -37.4477
 114  1.02681  -35.6109
 115  0.99572  -45.0691
 116  0.97378  -51.5678
 117  1.07255  -53.9318
 118  0.99268  -51.3785
 119  0.96775  -55.2288
 120  1.09284  -38.4155
 121  1.06845  -43.4358
 122  1.05144  -46.1244
 123  0.99711  -52.1139
